ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci FrekansÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,,8 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1255U,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//lenovo/v15-g3-82tt00c6tx-i7-1255u-8g-512g-ssd-15-6-fhd-fdos-dizustu-bilgisayar-p-765933009?boutiqueId=61&merchantId=105013,17.999 TL
,,,,,,,2 kg ve Altı,Yok,"13,3 inç",,,,,M2 8 Çekirdekli,DDR4,Paylaşımlı,Dahili,,120 Hz,,,2 Yıl,Apple Türkiye Garantili,,,512 GB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,,8 GB,DDR4,Gümüş,512 GB,,,,,,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,2. Nesil,M2,8,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-pro-13-3-m2-cip-10c-gpu-8-gb-512gb-ssd-gumus-p-335849690?boutiqueId=623361&merchantId=968,45.999 TL
,,,,,,,2 kg ve Altı,Var,"13,3 inç",,,,,Intel Iris Graphics,DDR4,4 GB,Dahili,,60 Hz,,,2 Yıl,İthalatçı Garantili,,,HDD Yok,,Q İngilizce,,Ofis - İş,,,,,,Yok,,,,,8 GB,LPDDR4X,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,12,Windows,,https://www.trendyol.com//samsung/galaxy-book2-360-13-3-intel-12th-gen-core-i5-evo-platform-8gb-bellek-256gb-ssd-grafit-p-378503749?boutiqueId=61&merchantId=720049,39.501 TL
,,,VGA,,,,,,"19"" / 48 Ekran",,,,,Nvidia GeForce GT 730,DDR3,4 GB,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,256 GB,Q Türkçe,,Oyun,,,,,,Yok,,,,,16 GB,,,256 GB,,,,3.2,,,,,,,,,,1366 x 768,,3.00 GHz üstü,2400,Belirtilmemiş,Intel Core i5,4,Windows,,https://www.trendyol.com//dmc/n38x-gta-5-i5-2400-4-cekirdek-16gb-ram-256gb-ssd-4gb-gt730-19-5-masaustu-oyuncu-bilgisayari-p-329556275?boutiqueId=626264&merchantId=172251,7.199 TL
,64 GB,,HDMI,,,,4 kg ve Üstü,,25 + inç,,,,,Nvidia GeForce RTX 2060 Super,GDDR6,6 GB,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Q Türkçe,,Oyun,,,,,,Yok,VA,500 W ve üstü,,,16 GB,DDR4,,512 GB,,AM4,,3.6,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,3700X,Belirtilmemiş,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//msi/izoly-xatu-y-ryzen-7-3700x-16gb-512gb-m-2-nvme-rtx-2060s-6gb-27-165hz-oyuncu-masaustu-bilgisayari-p-778744713?boutiqueId=61&merchantId=123676,"29.715,84 TL"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//msi/bravo-15-b5dd-208xtr-r5-5600h-8gb-ddr4-rx5500m-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-195729936?boutiqueId=61&merchantId=154548,25.467 TL
,,,HDMI - USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics 600,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,4 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,,1366 x 768,HD Ready (HD),,N4020,1. Nesil,Intel Celeron,2,Windows,,https://www.trendyol.com//lenovo/ideapad-1-82v700a9tx01-n4020-4gb-256ssd-15-6-hd-w11h-tasinabilir-bilgisayar-cnt002-p-772261829?boutiqueId=626264&merchantId=106664,8.125 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/yoga7-amd-ryzen-7-7735u-16gb-512gb-w11-14-oled-touch-screen-laptop-lenovo-turkiye-garantili-p-744554280?boutiqueId=623361&merchantId=968,29.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//warbox/lol-eko-i5-2400-8gb-120gb-ssd-120gb-hdd-r7-240-2gb-e-karti-19-hd-monitor-p-91805166?boutiqueId=61&merchantId=128234,6.315 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//biggamex/aizen-gt63-i5-3470-16gb-ram-512gb-ssd-4gb-gt730-20-oyuncu-masaustu-bilgisayari-p-58663257?boutiqueId=61&merchantId=192618,8.749 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"13,3 inç",,,,,Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,,16 GB,Birleşik Bellek,Çok Renkli,512 GB,,,,,,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M2,Belirtilmemiş,Mac Os,,https://www.trendyol.com//apple/macbook-pro-m2-cip-16-gb-512-gb-ssd-13-3-uzay-grisi-notebook-z16s00069-p-382814201?boutiqueId=61&merchantId=141868,60.990 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,8 GB,DDR4,Çok Renkli,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//acer/aspire-3-a315-58-50ee-intel-i5-1135g-8gb-ram-256ssd-iris-xe-graphics-15-6-fhd-w11-gumus-noteb-p-772493006?boutiqueId=61&merchantId=616776,11.899 TL
,64 GB,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,90 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q İngilizce,,Ofis - İş,,5.0,,,,Yok,IPS,,,,16 GB,DDR5,Gri,512 GB,Gen 3,,,2.9,,,,,,,,,,1920 x 1080,Full HD (FHD),,11390H,11. Nesil,Intel Core i7,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//xiaomi/redmibook-15e-2023-p-783324152?boutiqueId=61&merchantId=105306,24.284 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Gümüş,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//asus/vivobook-15-x1502za-ej030w03-i5-1235u-16gb-512ssd-15-6-fullhd-w11h-tasinabilir-bilgisayar-p-758432277?boutiqueId=61&merchantId=880551,17.299 TL
,,,,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3080 Ti,GDDR6,16 GB,Harici,,240 Hz,,,,Resmi Distribütör Garantili,,,Yok,2 TB,Q Türkçe,,Oyun,,,,,,Yok,IPS,,,,32 GB,DDR5,siyah,2 TB,,,,3.5,,,,,,,,,,2560 x 1440,Full HD (FHD),,12700H,Yok,Intel Core i7,Belirtilmemiş,Windows 11,,https://www.trendyol.com//msi/stealth-gs66-12uhs-049tr-i7-12700h-32gb-ddr5-rtx3080ti-gddr6-16gb-2tb-ssd-15-6-qhd-240hz-w11-p-230378942?boutiqueId=61&merchantId=664468,165.399 TL
,,,,,,,2 kg ve Altı,Yok,14 inç,,,,,Nvidia GeForce MX450,GDDR5,2 GB,Harici,,60 Hz,,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,,Tasarım,,,,,,Yok,,,,,8 GB,DDR4,Pembe,512 GB,,,,2.8,,,,,,,,,,1920 x 1080,Full HD (FHD),,1165G7,11. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//hp/pavilion-14-dv0027nt-i7-1165g7-8gb-ram-512gb-ssd-2gb-geforce-mx450-14-fhd-w10h-4h0u3ea-p-215047492?boutiqueId=61&merchantId=230276,34.999 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,8 GB,DDR5,Mavi,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-e1010nt-amd-ryzen-5-6600h-8gb-512gb-rtx3050ti-16-1-fhd-144hz-dos-68s26ea-p-686329879?boutiqueId=61&merchantId=203702,24.690 TL
,8 GB,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,DDR4,Paylaşımlı,Dahili,,120 Hz,,,,Resmi Distribütör Garantili,,,256 GB,Yok,Q Türkçe,,Tasarım,,,,,,Yok,,,,,8 GB,DDR4,Siyah,256 GB,,,,2.1,,,,,,,,,,1920 x 1080,Full HD (FHD),,3500U,3. Nesil,AMD Ryzen 5,4,Free Dos,,https://www.trendyol.com//hp/255-g8-3c2w5es-ryzen5-3500u-8gb-256ssd-15-6-freedos-fullhd-tasinabilir-bilgisayar-p-104353645?boutiqueId=61&merchantId=108129,12.000 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,8,Free Dos,4-6 Saat,https://www.trendyol.com//asus/expertbook-b1500cba-bq1869-intel-i5-1235u-16gb-ddr4-512gb-ssd-15-6-fhd-freedos-p-739393353?boutiqueId=61&merchantId=121153,17.990 TL
,,,Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.2,,,,,VA,,,,16 GB,DDR4,Siyah,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/inspiron-3520-intel-core-i5-1135g7-16gb-1tb-ssd-windows-10-pro-15-6-n35201135ua27-p-769547945?boutiqueId=61&merchantId=334898,16.799 TL
,,,HDMI - USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,4.7,,,,Yok,TN,,,,16 GB,DDR4,Gri,1 TB,,,,1.7,,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,12. Nesil,AMD Ryzen 7,10,Windows,4-6 Saat,https://www.trendyol.com//lenovo/ideapad-1-amd-ryzen-7-5700u-16gb-1tb-ssd-w11p-15-6-fhd-canta-hediye-p-781026802?boutiqueId=61&merchantId=448871,17.250 TL
,,,HDMI - USB,,,,2 - 4 kg,Var,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Harici,,Belirtilmemiş,,,2 Yıl,Asus Türkiye Garantili,,,256 GB,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Ev - Okul,,,,,,,,,,,8 GB,DDR4,Mavi,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1215U,Belirtilmemiş,Intel Core i3,6,Free Dos,,https://www.trendyol.com//asus/vivobook-f1502za-ej1531-full-hd-intel-i3-1215u-8-gb-ram-256-gb-ssd-freedos-dizustu-bilgisayar-p-788083214?boutiqueId=61&merchantId=895628,10.210 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,14 inç,,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Huawei Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,8 GB,DDR1,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,QHD,,10110U,10. Nesil,Intel Core i3,2,Windows,,https://www.trendyol.com//huawei/matebook-d14-intel-core-i3-8gb-256gb-ssd-14-windows-dizustu-bilgisayar-p-410750198?boutiqueId=61&merchantId=373972,13.289 TL
,,,HDMI - USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//lenovo/v15-g3-i5-1235u-16gb-512gb-ssd-w11pro-15-6-fhd-notebook-82tt00a5tx0343-mouse-p-743771641?boutiqueId=61&merchantId=557390,16.849 TL
,,,,,,,,,22 - 24 inç,,,,,Nvıdıa GeForce GT 730,DDR3,4 GB,Harici,,75 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Yok,HDD Yok,256 GB,Q Türkçe,,Oyun,,,,,,Yok,,250 - 350 W,,,16 GB,DDR3,,256 GB,,,,2.8,,,,,,,,,,1920 x 1080,Full HD (FHD),2.50 GHz - 3.00 GHz,860,1. Nesil,Intel Core i7,8,Free Dos,,https://www.trendyol.com//turbox/tx1143-i7-860-16gb-ram-256gb-ssd-4gb-gt730-ekran-karti-23-6-inc-masaustu-oyun-bilgisayari-p-213781056?boutiqueId=61&merchantId=107513,8.999 TL
,,,USB,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,,60 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,TN,,,,8 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,11400,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//msi/gf63-thin-11ucx-1623xtr-intel-core-i5-11400h-8gb-512gb-ssd-rtx2050-freedos-15-6-laptop-p-766709934?boutiqueId=61&merchantId=616776,23.499 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,,,,,,TN,,,,8 GB,DDR4,Siyah,500 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-3-intel-core-i7-11800h-8-gb-500-gb-ssd-rtx3050ti-freedos-15-6-fhd-p-117535061?boutiqueId=61&merchantId=105286,27.099 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,16 inç,,,,,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Siyah,1 TB,Gen 4,,,,,,,,,,,,,1920 x 1200,FHD+,,13700HX,13. Nesil,Intel Core i7,16,Windows,,https://www.trendyol.com//msi/vector-gp68hx-13vh-208tr-i7-13700hx-16gb-ddr5-1tb-ssd-12gb-rtx4080-16-fhd-144hz-win11-gaming-p-750834706?boutiqueId=61&merchantId=106740,71.999 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,17 inç,,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,240 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,5.0,,,,,IPS,,,,32 GB,DDR5,Siyah,1 TB,Gen 4,,,2.1,,,,,,,,,,2560 x 1600,QHD+,,13700HX,13. Nesil,Intel Core i7,16,Windows,,https://www.trendyol.com//monster/semruk-s7-v9-1-1-intel-core-i7-13700hx-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-windows-11-17-qhd-240-hz-p-759729346?boutiqueId=61&merchantId=105286,69.999 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),,Oyun,,4.7,,,,,IPS,,,,16 GB,DDR5,Gri,512 GB,,,,3.2,,,,,,,,,,1920 x 1080,Full HD (FHD),,6800HS,6. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/rog-strix-g15-g513rc-hn194-amd-r7-6800hs-16gb-512gb-ssd-rtx3050-144hz-dos-15-6-fhd-notebook-p-650131722?boutiqueId=61&merchantId=106740,32.999 TL
,,,USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 2050,GDDR6,4 GB,Dahili,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q İngilizce,,Oyun,,,,,,,IPS,,,,8 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//msi/nb-thin-gf63-12ucx-427xtr-i5-12450h-8gb-ddr4-rtx2050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-748468087?boutiqueId=61&merchantId=339221,24.899 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,,,,,,8 GB,LPDDR5,Siyah,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7520U,7. Nesil,AMD Ryzen 5,4,Free Dos,,https://www.trendyol.com//lenovo/v15-82yu00q6tx-ryzen5-7520u-8gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-743515901?boutiqueId=61&merchantId=106773,10.399 TL
,32 GB,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,,Oyun,,4.4,,,,Yok,,,,,8 GB,DDR4,Siyah,512 GB,,,,1.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,11400,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//msi/gf63-thin-11sc-035xtr-i5-11400h-8gb-ddr4-gtx1650-gddr6-4gb-512gb-ssd-15-6-fhd-dos-p-163858296?boutiqueId=61&merchantId=655835,33.999 TL
,,,HDMI - USB,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,165 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,32 GB,DDR5,Siyah,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//hp/omen-16-wf0026nt-7q7x8ea-i7-13700hx-32gb-ram-1tb-ssd-8gb-rtx-4060-16-1-fhd-freedos-siyah-p-762555195?boutiqueId=632399&merchantId=105369,45.899 TL
,,,HDMI - USB,,,,2 kg ve Altı,Var,16 inç,,,,,Intel HD Graphics,Dahili,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ofis - İş,,,,,,,IPS,,,,8 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,,2560 x 1600,QHD,,1235U,12. Nesil,Intel Core i3,10,Windows,,https://www.trendyol.com//lenovo/flex-5-i3-1215u-8-gb-ram-256gb-ssd-16-inc-dokunmatik-win11-ikisi-bir-arada-laptop-82r8003ktx-p-785811931?boutiqueId=61&merchantId=641216,24.949 TL
,,,USB,,,,2 kg ve Altı,Yok,18 inç,,,,,Nvidia GeForce MX450,Dahili,2 GB,Harici,,90 Hz,,,2 Yıl,ACER Türkiye Garantili,,,500 GB,,Q Türkçe + Numerik (Aydınlatmalı),,Ev - Okul,,,,,,,,,,,36 GB,LPDDR3,Beyaz,32 GB,,,,,,,,,,,,,,4480 x 2520,Ultra HD 4K (UHD),,4800HS,5. Nesil,MediaTek P60T,10,Windows,,https://www.trendyol.com//lenovo/ideapad-1-82v7006ntx-celeron-n4120-4gb-128gb-emmc-15-6-hd-freedos-tasinabilir-bilgisayar-hc-p-767934785?boutiqueId=61&merchantId=125175,7.999 TL
,,,,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,4.2,,,,,IPS,,,,16 GB,DDR4,Siyah,512 GB,,,,2.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//acer/aspire-3-a315-58-intel-core-i5-1135g7-16gb-512gb-ssd-windows-10-pro-15-6-fhd-cnxaddeywp010-p-635075534?boutiqueId=61&merchantId=557390,14.849 TL
,64 GB,,VGA - HDMI - DP - COM,,,,2 - 4 kg,,22 - 24 inç,,,,,AMD Radeon RX 5500 XT,GDDR6,8 GB,Harici,,,,,2 Yıl,MSI Türkiye Garantili,,Var,HDD Yok,512 GB,Q Türkçe,,Oyun,,,,,,Yok,VA,500 W ve üstü,,,8 GB,DDR4,,512 GB,Gen 3,LGA 1200,,3.6,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,10100F,10. Nesil,Intel Core i3,8,Windows,,https://www.trendyol.com//huracan-pc/rx55-intel-core-i3-10100f-100hz-monitor-23-8-amd-radeon-rx5500xt-8gb-ek-8gb-ddr4-512gb-ssd-gaming-pc-p-786020528?boutiqueId=61&merchantId=603094,"15.799,99 TL"
,,,,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,,,,,,IPS,,,,8 GB,DDR5,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp051-6gb-rtx4050-ryzen-7-7735hs-8gb-ram-512gb-ssd-15-6-inc-fhd-144hz-p-687843369?boutiqueId=61&merchantId=169540,30.949 TL
,128 GB,,USB,,,,4 kg ve Üstü,,,,,,,Nvidia GeForce RTX 3060 Ti,GDDR6,8 GB,Harici,,300 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,512 GB,Yok,,Oyun,,,,,,Yok,,500 W ve üstü,,,16 GB,DDR4,,512 GB,,AM4,,3.9,,,,,,,,,,4480 x 2520,Ultra HD 4K (UHD),3.00 GHz üstü,Ryzen 5 5600,5. Nesil,AMD Ryzen 5,16,Windows,,https://www.trendyol.com//msi/msi-mag-super-gaming-sistem-amd-ryzen-5-5600-nvidia-rtx-3060-ti-16gb-ddr4-ram-512gb-m-2-ssd-p-737167012?boutiqueId=61&merchantId=799202,24.499 TL
